,bs,epoch,lr,model,sf,train_loss,val_loss,name,ckpt,time
0,4,70,0.15,RSResNet,100,"[0.9905282855033875, 0.012315556406974792, 0.006929097697138786, 0.0124483872205019, 0.016621578484773636, 0.006933416239917278, 0.00612804526463151, 0.004755069501698017, 0.003917325288057327, 0.0046655526384711266, 0.002519621280953288, 0.0024417447857558727, 0.0028790757060050964, 0.0022927839308977127, 0.004367980174720287, 0.0029719038866460323, 0.00415201997384429, 0.0024946152698248625, 0.0020667030476033688, 0.003712108824402094, 0.0018856697715818882, 0.0011474427301436663, 0.003701697802171111, 0.002026189584285021, 0.0010627745650708675, 0.0018021613359451294, 0.0016725892201066017, 0.0016009369865059853, 0.00114549626596272, 0.0013167764991521835, 0.0015492719830945134, 0.0004464785452000797, 0.0019673926290124655, 0.0029787260573357344, 0.0011999726993963122, 0.001047859899699688, 0.0010505105601623654, 0.0009727607248350978, 0.0007975887856446207, 0.0012414107332006097, 0.0011278700549155474, 0.0005877586081624031, 0.001548033906146884, 0.0010795937851071358, 0.0010600228561088443, 0.001278565381653607, 0.0012204870581626892, 0.0010373190743848681, 0.0020508652087301016, 0.001621279283426702, 0.0016308169579133391, 0.0013820230960845947, 0.0006963085033930838, 0.0012742711696773767, 0.0014081622939556837, 0.0014833903405815363, 0.0007007725653238595, 0.0013570839073508978, 0.00098136137239635, 0.001107781776227057, 0.001016469905152917, 0.0007718061679042876, 0.0013322705635800958, 0.0006008858326822519, 0.0015646562678739429, 0.0006341492990031838, 0.000593017612118274, 0.001450881827622652, 0.0010350551456212997, 0.0012794299982488155]","[0.00028934780857525766, 0.0018144738860428333, 0.0011654234258458018, 0.00039606448262929916, 0.0002929754264187068, 0.0004066232359036803, 0.00014313822612166405, 0.0008964879089035094, 0.0011231607059016824, 0.0001929604768520221, 0.002404565690085292, 0.00012022336159134284, 0.0014380922075361013, 0.0019693050999194384]",bs_4_epoch_70_lr_0.15_model_RSResNet_sf_100_,checkpoints/0416_01:55/RSResNet_01:55.pth,2.6259372234344482
1,4,70,0.15,RSResNet,50,"[0.13714826107025146, 0.04611658677458763, 0.02458982914686203, 0.011474549770355225, 0.010526484809815884, 0.00971401110291481, 0.01068413071334362, 0.007205685134977102, 0.006368711125105619, 0.005513232201337814, 0.0020514442585408688, 0.00293921772390604, 0.0032041168306022882, 0.003081029513850808, 0.004177476279437542, 0.002739905845373869, 0.0018737511709332466, 0.003528625937178731, 0.0021994058042764664, 0.0015517983119934797, 0.0012231345754116774, 0.0012077675200998783, 0.0015928236534819007, 0.001969254808500409, 0.0016651760088279843, 0.0012764906277880073, 0.0022862902842462063, 0.001265498693101108, 0.0005248285597190261, 0.0006900249281898141, 0.0016626630676910281, 0.0014499493408948183, 0.0008025752031244338, 0.0012906270567327738, 0.0009405750315636396, 0.0013669924810528755, 0.000773406180087477, 0.0008991940412670374, 0.0008417937206104398, 0.0005163547466509044, 0.0006573330028913915, 0.0006438474520109594, 0.0013263256987556815, 0.0006403615116141737, 0.0011469429591670632, 0.0007540525984950364, 0.001010987674817443, 0.0009966751094907522, 0.0008775248425081372, 0.0008168550557456911, 0.0008917205850593746, 0.0007869101245887578, 0.0006468986975960433, 0.00046740041580051184, 0.0008155293762683868, 0.0007527800044044852, 0.0010856983717530966, 0.0007471073186025023, 0.0007683357107453048, 0.0005340896896086633, 0.0004341820895206183, 0.0005284933722577989, 0.0004294866230338812, 0.0006106413784436882, 0.00045271654380485415, 0.0005123722949065268, 0.0009139572503045201, 0.0007666386081837118, 0.0008467828738503158, 0.00030710536520928144]","[0.002332234987989068, 0.0007659857510589063, 0.0006709386361762881, 0.0003436041297391057, 0.00026897439965978265, 0.0002707693201955408, 0.00014831800945103168, 0.0004567643045447767, 3.253693648730405e-05, 0.00018381535483058542, 0.00022013411216903478, 1.5916568372631446e-05, 0.0005910405307076871, 0.001230130554176867]",bs_4_epoch_70_lr_0.15_model_RSResNet_sf_50_,checkpoints/0416_01:55/RSResNet_01:55.pth,3.1435348987579346
2,4,70,0.15,RSResNet,20,"[0.040592439472675323, 0.00860676821321249, 0.007787971291691065, 0.0032741990871727467, 0.003900962881743908, 0.0027788931038230658, 0.0014492509653791785, 0.0025067387614399195, 0.001475161756388843, 0.002026562113314867, 0.0009753036429174244, 0.001179632032290101, 0.0011939898831769824, 0.0005132601945661008, 0.0011026168940588832, 0.0006230061990208924, 0.0009781296830624342, 0.0007892371504567564, 0.000687144638504833, 0.0005039351526647806, 0.0008513987413607538, 0.0007046497776173055, 0.0008690556860528886, 0.0005510014016181231, 0.000555399979930371, 0.0003911667154170573, 0.0006777227390557528, 0.0006282348767854273, 0.0003608059778343886, 0.0004682864819187671, 0.0004111181478947401, 0.0004411058616824448, 0.000459055881947279, 0.0005705966614186764, 0.00040015645208768547, 0.00040080436156131327, 0.0005822295206598938, 0.0003797814133577049, 0.0004156343638896942, 0.00034648721339181066, 0.00042388527072034776, 0.00046581626520492136, 0.0004672875802498311, 0.0003265955310780555, 0.00026154922670684755, 0.00033397108200006187, 0.0002912935451604426, 0.0002866024733521044, 0.000421445001848042, 0.0002639872254803777, 0.0003717980289366096, 0.00040348642505705357, 0.0005016041686758399, 0.0004981767269782722, 0.00033524096943438053, 0.00034760605194605887, 0.0003731565084308386, 0.0005627405480481684, 0.00041045021498575807, 0.0005989272613078356, 0.00030251129646785557, 0.00037319923285394907, 0.0004592587938532233, 0.000391593697713688, 0.00027425019652582705, 0.00039833379560150206, 0.00029135862132534385, 0.0003243771498091519, 0.0003449552459642291, 0.00047815233119763434]","[0.0037313876673579216, 0.0001853221037890762, 0.001768382964655757, 0.0003320583491586149, 8.8695996964816e-05, 0.00034350185887888074, 0.000330920796841383, 5.73028446524404e-05, 0.000600138446316123, 0.0002874202618841082, 0.00038869475247338414, 0.00025535281747579575, 0.0003856344264931977, 7.392778206849471e-05]",bs_4_epoch_70_lr_0.15_model_RSResNet_sf_20_,checkpoints/0416_01:55/RSResNet_01:55.pth,5.129342317581177
3,4,70,0.175,RSResNet,100,"[0.49169546365737915, 0.2843143045902252, 0.02251233160495758, 0.004765236284583807, 0.010373269207775593, 0.01785731129348278, 0.00610774289816618, 0.004544270224869251, 0.00396659504622221, 0.0025683685671538115, 0.004090741742402315, 0.0040543293580412865, 0.0043358770199120045, 0.00412945169955492, 0.0021037443075329065, 0.002117907628417015, 0.002697675721719861, 0.004197117406874895, 0.0009181461064144969, 0.00247113942168653, 0.0021875957027077675, 0.001586937578395009, 0.005248343106359243, 0.0033377574291080236, 0.002811708953231573, 0.0031868359073996544, 0.002365902066230774, 0.003619456198066473, 0.0017458655638620257, 0.001392434467561543, 0.00139229791238904, 0.0028227351140230894, 0.0022935045417398214, 0.0023146439343690872, 0.0013984374236315489, 0.0013180722016841173, 0.0018850958440452814, 0.0014364419039338827, 0.0020487974397838116, 0.0014975126832723618, 0.0018289561849087477, 0.0010273061925545335, 0.0009324818383902311, 0.0008528094622306526, 0.0007814554846845567, 0.00077863346086815, 0.0007021898054517806, 0.0014299302129074931, 0.0009820431005209684, 0.0005074807559140027, 0.0007620054529979825, 0.0011364130768924952, 0.00104623194783926, 0.00040720822289586067, 0.0009565631626173854, 0.0007400463218800724, 0.000898994505405426, 0.0005604394245892763, 0.0006611401913687587, 0.0010019197361543775, 0.0009237008634954691, 0.0007681422284804285, 0.0016029071994125843, 0.0010966525878757238, 0.0010152378818020225, 0.0012476051924750209, 0.0008962610154412687, 0.0006645785178989172, 0.0008160170400515199, 0.0009967135265469551]","[0.002116265008226037, 0.0011800983920693398, 0.0004021557397209108, 0.0019520757487043738, 0.0007121703238226473, 0.0004428648098837584, 4.505944161792286e-05, 0.0001670038909651339, 0.0011328847613185644, 0.00029443815583363175, 0.0004193570639472455, 0.0004339484148658812, 2.0074479834875092e-05, 0.0005986421601846814]",bs_4_epoch_70_lr_0.175_model_RSResNet_sf_100_,checkpoints/0416_01:55/RSResNet_01:55.pth,2.7263307571411133
4,4,70,0.175,RSResNet,50,"[0.18384245038032532, 0.11904463917016983, 0.03090498223900795, 0.026970794424414635, 0.0071750422939658165, 0.00534423254430294, 0.002200283110141754, 0.003760456806048751, 0.002658153185620904, 0.004679134581238031, 0.002167927101254463, 0.0018719227518886328, 0.002860809676349163, 0.0008859001100063324, 0.002497210865840316, 0.0015800754772499204, 0.0015015198150649667, 0.0008132839575409889, 0.0006872501689940691, 0.0017123157158493996, 0.0005854028277099133, 0.0013318670680746436, 0.0008577012922614813, 0.0014619589783251286, 0.0010564543772488832, 0.0008683922933414578, 0.0008855427149683237, 0.0013408359372988343, 0.0009025979088619351, 0.0010666092857718468, 0.0008515442023053765, 0.0011561409337446094, 0.0005695276777260005, 0.0007124093826860189, 0.00039968977216631174, 0.0005179952713660896, 0.0004978273063898087, 0.0008763148216530681, 0.0009279391961172223, 0.0008165515027940273, 0.0005953130312263966, 0.0008007801370695233, 0.0007826695800758898, 0.0009203185909427702, 0.0009309017914347351, 0.0007734156679362059, 0.001108305063098669, 0.0004936110344715416, 0.0003262660757172853, 0.0005839430377818644, 0.0005415925988927484, 0.0006485373596660793, 0.0009504404151812196, 0.0008762396173551679, 0.000516529253218323, 0.0004424929793458432, 0.000499533605761826, 0.00035665047471411526, 0.0003992089186795056, 0.0007818139856681228, 0.0005389515426941216, 0.0005135608953423798, 0.0006577841122634709, 0.00045436603249982, 0.0005222847685217857, 0.00042374368058517575, 0.0004866435774601996, 0.00036176072899252176, 0.00037132567376829684, 0.0003905846388079226]","[0.00308949314057827, 0.0006999862380325794, 0.0001263528101844713, 0.0012552813859656453, 0.0004444875521585345, 0.0002100620185956359, 0.00013257464161142707, 0.0012689257273450494, 4.9255202611675486e-05, 4.064298627781682e-05, 9.712643986858893e-06, 0.0002971351204905659, 4.057848855154589e-05, 9.437091648578644e-05]",bs_4_epoch_70_lr_0.175_model_RSResNet_sf_50_,checkpoints/0416_01:55/RSResNet_01:55.pth,3.3117258548736572
5,4,70,0.175,RSResNet,20,"[0.15321820974349976, 0.007147523108869791, 0.005274701397866011, 0.0029716109856963158, 0.0011836327612400055, 0.0017471739556640387, 0.0010795851703733206, 0.0011999016860499978, 0.0008979643462225795, 0.0006629230338148773, 0.0007114498876035213, 0.0007263795123435557, 0.0007421043701469898, 0.0006113798008300364, 0.0003615698078647256, 0.0005042670527473092, 0.0005046436563134193, 0.0003015801776200533, 0.00039618188748136163, 0.0004415112780407071, 0.00038641292485408485, 0.00034584893728606403, 0.00035343022318556905, 0.0002777081390377134, 0.00034865090856328607, 0.0003226360713597387, 0.00038804372888989747, 0.000463367672637105, 0.0002839553344529122, 0.00038498727371916175, 0.0002949503541458398, 0.00027854807558469474, 0.0002573186357039958, 0.00031212507747113705, 0.0002653285919222981, 0.0003671117592602968, 0.00024210070841945708, 0.0003903720935340971, 0.00024538557045161724, 0.0002500889531802386, 0.00018658004410099238, 0.00024657713947817683, 0.00022778329730499536, 0.0003272707690484822, 0.0004081713268533349, 0.0002821983362082392, 0.00023444488761015236, 0.0002007659204537049, 0.0002633500553201884, 0.0002225005009677261, 0.000311415788019076, 0.00019690768385771662, 0.00023798485926818103, 0.0003107353113591671, 0.00018829855252988636, 0.00026443207752890885, 0.0002866685390472412, 0.0002631634706631303, 0.000219053661567159, 0.00024268515699077398, 0.00017147661128547043, 0.00018751529569271952, 0.00020502833649516106, 0.0003218531492166221, 0.00019108799460809678, 0.00033076299587264657, 0.00025539411581121385, 0.0003024810866918415, 0.0001697280677035451, 0.0002048278838628903]","[0.0011011263122782111, 0.00014607899356633425, 0.00010058288899017498, 7.8797951573506e-05, 0.000806500029284507, 0.000734983419533819, 0.0002230175887234509, 0.00015740498201921582, 9.351405606139451e-05, 0.00014522911806125194, 0.00010193379421252757, 8.792710286797956e-05, 7.101586379576474e-05, 0.00011924706632271409]",bs_4_epoch_70_lr_0.175_model_RSResNet_sf_20_,checkpoints/0416_01:55/RSResNet_01:55.pth,5.1765360832214355
6,4,140,0.15,RSResNet,100,"[0.07359600067138672, 0.051883675158023834, 0.04111669212579727, 0.009624680504202843, 0.007764085195958614, 0.008192116394639015, 0.00631902739405632, 0.010721112601459026, 0.008941855281591415, 0.009724830277264118, 0.007119225338101387, 0.004799114540219307, 0.008179998025298119, 0.007697938941419125, 0.003895774483680725, 0.004313424229621887, 0.004658644087612629, 0.004288707859814167, 0.001439503044821322, 0.0017962830606848001, 0.0018817520467564464, 0.0017154938541352749, 0.0024501620791852474, 0.0030475177336484194, 0.0027272505685687065, 0.0022729665506631136, 0.004970452282577753, 0.0019424653146415949, 0.0012719481019303203, 0.0018991924589499831, 0.0015527558280155063, 0.0012172407004982233, 0.0011856601340696216, 0.0006383978761732578, 0.0012568302918225527, 0.0029374361038208008, 0.001596539979800582, 0.0017348885303363204, 0.0007590002496726811, 0.0009572949493303895, 0.0011082969140261412, 0.0006033281097188592, 0.0010449342662468553, 0.0013822533655911684, 0.0012863936135545373, 0.0008949406910687685, 0.0012956709833815694, 0.0014169348869472742, 0.001417537103407085, 0.0012136633740738034, 0.0006804417353123426, 0.0006316681392490864, 0.0013579938095062971, 0.0004662447900045663, 0.0011777090840041637, 0.0016415927093476057, 0.0012241267831996083, 0.0008618180290795863, 0.0008159199496731162, 0.0004926501424051821, 0.00043321511475369334, 0.0005972569342702627, 0.0005360026843845844, 0.0004613534256350249, 0.0005451180040836334, 0.0003717935469467193, 0.00045062610297463834, 0.00018028158228844404, 0.0005789965507574379, 0.0006047984934411943, 0.0006854952080175281, 0.0007873798604123294, 0.0005829398869536817, 0.000537804386112839, 0.0011152297956869006, 0.00017909421876538545, 0.00019546205294318497, 0.00024566720821894705, 0.000581547967158258, 0.0006986305816099048, 0.0008638076833449304, 0.0003676556807477027, 0.0002552169025875628, 0.000546183146070689, 0.00041636094101704657, 0.0005461116088554263, 0.00013631903857458383, 0.0005724416696466506, 0.0003673314640764147, 0.0002551953657530248, 0.00038463700911961496, 0.00015963947225827724, 0.000233454120461829, 0.0005171260563656688, 0.0005897106602787971, 0.0002718128089327365, 0.00039330386789515615, 0.00039573112735524774, 0.00044652982614934444, 0.000378312572138384, 0.0004772560787387192, 0.0008613333338871598, 0.0002414509654045105, 0.000158852941240184, 0.0003494764678180218, 0.0005051509360782802, 0.0003488762304186821, 0.00017409640713594854, 0.00027152776601724327, 0.0005006828578189015, 0.00014530375483445823, 0.00017487627337686718, 0.0001306602789554745, 0.0003158634062856436, 0.0004263116279616952, 0.00037982655339874327, 0.0005238199373707175, 0.000424673140514642, 0.00041990363388322294, 0.00025926277157850564, 0.000300458021229133, 0.00032381684286519885, 0.00019707718456629664, 0.0003265946579631418, 0.000576238555368036, 0.00021075380209367722, 0.00014687550719827414, 0.00037442916072905064, 0.00011043513950426131, 0.00026265441556461155, 0.00013556311023421586, 0.00030320434598252177, 0.00024969849619083107, 0.00013879792822990566, 0.00026147346943616867, 0.0004425922525115311, 0.00012134147982578725, 0.0005524867447093129, 0.0002575404359959066, 0.00024304234830196947]","[0.009408431127667427, 0.002843728754669428, 0.005862832069396973, 0.0020053915213793516, 0.0008508941391482949, 0.00266399048268795, 0.006127292290329933, 0.0008608627249486744, 0.0009308531298302114, 0.000631575530860573, 0.0004226377932354808, 0.000684289843775332, 0.0006198342889547348, 0.0004152261244598776, 0.00023353451979346573, 0.002496340312063694, 0.00015587941743433475, 0.0001046466568368487, 0.00019979506032541394, 0.0005967934266664088, 0.0007337501738220453, 6.199831113917753e-05, 6.87529391143471e-05, 0.00021613159333355725, 0.0006725752027705312, 9.07639623619616e-05, 5.313554356689565e-05, 0.000163137330673635]",bs_4_epoch_140_lr_0.15_model_RSResNet_sf_100_,checkpoints/0416_01:55/RSResNet_01:55.pth,5.507713079452515
7,4,140,0.15,RSResNet,50,"[0.11855331063270569, 0.03345499932765961, 0.03158887103199959, 0.016965879127383232, 0.010873710736632347, 0.007406296208500862, 0.004675804637372494, 0.00431794160977006, 0.0034866516944020987, 0.004210003651678562, 0.0036260958295315504, 0.004511360079050064, 0.0027775438502430916, 0.0024537190329283476, 0.002252386650070548, 0.0013531433651223779, 0.0014979001134634018, 0.0009636682225391269, 0.0024907824117690325, 0.0015560230240225792, 0.0011207233183085918, 0.001064034178853035, 0.0010856733424589038, 0.0010609938763082027, 0.0012576475273817778, 0.0007572712493129075, 0.0007135966443456709, 0.0009377222741022706, 0.0007702336879447103, 0.001091678161174059, 0.0007424611831083894, 0.0007215540972538292, 0.0005414817715063691, 0.0013837011065334082, 0.0007849729154258966, 0.0010819167364388704, 0.00046582083450630307, 0.0006829583435319364, 0.0009861261351034045, 0.0009546359651722014, 0.0009203943191096187, 0.0008257839363068342, 0.0008363687084056437, 0.001188524765893817, 0.0010536174522712827, 0.0009142695344053209, 0.0008140126010403037, 0.0007698163390159607, 0.0008078141836449504, 0.000408278894610703, 0.0006180775817483664, 0.000892888056114316, 0.0005912776105105877, 0.000318013975629583, 0.0005788113921880722, 0.0007526911213062704, 0.0005338420742191374, 0.0004662559076678008, 0.0003866014303639531, 0.00029053070466034114, 0.0004482017538975924, 0.0007354147383011878, 0.0008399536600336432, 0.0006129902321845293, 0.00046950759133324027, 0.00033584824996069074, 0.0007904274389147758, 0.0005977877881377935, 0.00046380460844375193, 0.00046600174391642213, 0.0006042008171789348, 0.00024351839965675026, 0.0004386563668958843, 0.00043701595859602094, 0.00029606124735437334, 0.0005677964072674513, 0.0005206771311350167, 0.0007529568392783403, 0.0002441353863105178, 0.0006829491467215121, 0.000515539082698524, 0.0006768204621039331, 0.0005467847222462296, 0.0004698402190115303, 0.00033255363814532757, 0.00034991634311154485, 0.00042126342304982245, 0.0005165150505490601, 0.00026114165666513145, 0.0008121721912175417, 0.0002058518584817648, 0.00042953333468176425, 0.0005482863052748144, 0.0003986353985965252, 0.00031063403002917767, 0.0005881893448531628, 0.0003175533493049443, 0.000499711895827204, 0.0008153295493684709, 0.0003801107231993228, 0.00022831563546787947, 0.0004896308528259397, 0.0003833268128801137, 0.00027280766516923904, 0.000252605794230476, 0.0003654145111795515, 0.00023501920804847032, 0.0005736544262617826, 0.0003160670748911798, 0.00029059150256216526, 0.0003078864829149097, 0.00038711479282937944, 0.0004041131760459393, 0.000262657820712775, 0.0006438418058678508, 0.000301666819723323, 0.00032109153107739985, 0.0003706046845763922, 0.0003052274405490607, 0.0006610187119804323, 0.00031288989703170955, 0.00040587069815956056, 0.0003294709313195199, 0.00036617449950426817, 0.0002412722387816757, 0.00034012587275356054, 0.0003595262242015451, 0.0003198814229108393, 0.0003412796068005264, 0.0003413837985135615, 0.00027052851510234177, 0.000331290066242218, 0.0005219247541390359, 0.0003153516154270619, 0.00029928956064395607, 0.00027550157392397523, 0.0002131290384568274, 0.0003473645483609289, 0.00020584050798788667, 0.0004977493663318455]","[0.007094892207533121, 0.015919169411063194, 0.0002581448352430016, 0.0001635127846384421, 0.0001715538528515026, 0.0004014801816083491, 0.00037597454502247274, 0.0004048390837851912, 0.0006211434374563396, 0.00016318638517986983, 0.00020902605319861323, 7.425776857417077e-05, 6.534094427479431e-05, 6.40226571704261e-05, 7.75541557231918e-05, 7.585329149151221e-05, 0.00019258102111052722, 5.366247569327243e-05, 0.000159928371431306, 8.177167910616845e-05, 5.1333725423319265e-05, 5.365400647860952e-05, 0.00024786050198599696, 0.0007379713351838291, 5.1642909966176376e-05, 5.166039409232326e-05, 5.4668500524712726e-05, 0.0003358654212206602]",bs_4_epoch_140_lr_0.15_model_RSResNet_sf_50_,checkpoints/0416_01:55/RSResNet_01:56.pth,6.36943793296814
8,4,140,0.15,RSResNet,20,"[0.0956047922372818, 0.015923792496323586, 0.0058036986738443375, 0.0030029937624931335, 0.002790511818602681, 0.002309998497366905, 0.001403534202836454, 0.0015916103729978204, 0.0009844234446063638, 0.0012741627870127559, 0.0011570323258638382, 0.0008238729205913842, 0.0007749686483293772, 0.0009381764684803784, 0.0005027144798077643, 0.0006813485524617136, 0.0004998035728931427, 0.0005897535011172295, 0.0005438691005110741, 0.0005787300760857761, 0.0005401803064160049, 0.00036370381712913513, 0.0004516145563684404, 0.00040937273297458887, 0.0005283812643028796, 0.00038724226760677993, 0.00044729249202646315, 0.0004382514161989093, 0.00028821942396461964, 0.0003804488806053996, 0.0003635398461483419, 0.0005398737848736346, 0.0005356117617338896, 0.0004123979597352445, 0.0003563848731573671, 0.0003527060616761446, 0.0003668698773253709, 0.0002316112513653934, 0.00029980638646520674, 0.0003473759861662984, 0.0002210294915130362, 0.00025273734354414046, 0.0002817095664795488, 0.00028082396602258086, 0.0002734975714702159, 0.0002654937270563096, 0.0002510533668100834, 0.0002218561276094988, 0.0002046996814897284, 0.00027367458096705377, 0.00023613062512595206, 0.0004363267798908055, 0.00020929443417117, 0.0002681568148545921, 0.0002946335880551487, 0.00031960575142875314, 0.00020747965027112514, 0.00022908140090294182, 0.0003269052249379456, 0.00027778930962085724, 0.00025755472597666085, 0.000234550068853423, 0.00018142774933949113, 0.00018707635172177106, 0.00025815903791226447, 0.00019935388991143554, 0.00024378458329010755, 0.0002552635851316154, 0.0002288500254508108, 0.00021014643425587565, 0.00039873740752227604, 0.00027906690957024693, 0.00026809010887518525, 0.00020866640261374414, 0.0001553124311612919, 0.00018565094796940684, 0.00018996739527210593, 0.00030303772655315697, 0.00018229328270535916, 0.00015950057422742248, 0.00020898513321299106, 0.00017984185251407325, 0.00016508686530869454, 0.000158248221850954, 0.00020332395797595382, 0.0002659495803527534, 0.00015594404248986393, 0.00026064820121973753, 0.00022707993048243225, 0.00025344357709400356, 0.00018148501112591475, 0.00015742967661935836, 0.0001646088931011036, 0.00022957679175306112, 0.00022884691134095192, 0.0001924806711031124, 0.00024159970053005964, 0.00024236146418843418, 0.00020669442892540246, 0.00022899240138940513, 0.0001809448003768921, 0.00017162323638331145, 0.0001705002796370536, 0.00023808551486581564, 0.00017962291894946247, 0.00017811308498494327, 0.00017288139497395605, 0.00016801132005639374, 0.00020900684467051178, 0.00016215085634030402, 0.0001434049045201391, 0.00019719875126611441, 0.00022174717742018402, 0.000298415485303849, 0.0002436344511806965, 0.00021448664483614266, 0.00014957314124330878, 0.0001864716032287106, 0.00016428908566012979, 0.0002821699308697134, 0.0002837973879650235, 0.0001876697933766991, 0.00021180789917707443, 0.00016088556731119752, 0.00019340889411978424, 0.00023197376867756248, 0.00017799402121454477, 0.0001949313300428912, 0.00018469427595846355, 0.00020491577743086964, 0.00013869554095435888, 0.00021182376076467335, 0.00021724053658545017, 0.00023602058354299515, 0.0001856681046774611, 0.0001931872684508562, 0.00019487769168335944, 0.00022854265989735723, 0.00017663348990026861, 0.00015050462388899177]","[0.002914943266659975, 0.0022380701266229153, 0.00015591738338116556, 0.00019587016140576452, 0.0003764927096199244, 0.00035333435516804457, 0.00010861806367756799, 0.0001564913400216028, 0.0001046226461767219, 0.00014954348444007337, 0.0002434138732496649, 0.00026764938957057893, 9.822557331062853e-05, 0.00013348658103495836, 7.238481339300051e-05, 5.83176406507846e-05, 7.770516094751656e-05, 0.0001601530093466863, 0.0001411598059348762, 8.208130748244002e-05, 6.311209290288389e-05, 0.00029215612448751926, 9.887576743494719e-05, 0.0003100810572504997, 5.5217722547240555e-05, 9.454012615606189e-05, 8.580761641496792e-05, 5.7822486269287765e-05]",bs_4_epoch_140_lr_0.15_model_RSResNet_sf_20_,checkpoints/0416_01:55/RSResNet_01:56.pth,9.656031131744385
9,4,140,0.175,RSResNet,100,"[0.1978679895401001, 0.2825760841369629, 0.01370211597532034, 0.006794326938688755, 0.005384099669754505, 0.014778593555092812, 0.006536161992698908, 0.005955034866929054, 0.005580201279371977, 0.005267828702926636, 0.004887819290161133, 0.0053640068508684635, 0.0032728766091167927, 0.001136415870860219, 0.0020984606817364693, 0.0032381126657128334, 0.002417014678940177, 0.0022767791524529457, 0.002432630630210042, 0.0013974939938634634, 0.0013787592761218548, 0.0030670929700136185, 0.001206370652653277, 0.0013368469662964344, 0.001154123223386705, 0.0015093006659299135, 0.0017491873586550355, 0.0009942160686478019, 0.0016738795675337315, 0.001635655527934432, 0.0026654046960175037, 0.0013268778566271067, 0.0014283283380791545, 0.0008619410218670964, 0.0012192182475700974, 0.002544408431276679, 0.00043087624362669885, 0.00144569156691432, 0.0006675015320070088, 0.0008890733006410301, 0.0011082126293331385, 0.000587219197768718, 0.001489363145083189, 0.0010862941853702068, 0.0009666953701525927, 0.0014627644559368491, 0.001436908612959087, 0.0008087882306426764, 0.0007721708971075714, 0.0005099314148537815, 0.0008672371041029692, 0.0005999632994644344, 0.00039043257129378617, 0.0007188532035797834, 0.0008261249749921262, 0.001612815191037953, 0.0012114509008824825, 0.0005760598578490317, 0.00037106667878106236, 0.0004839017929043621, 0.0009072840330190957, 0.0006932285614311695, 0.0005593618261627853, 0.001025695470161736, 0.0010042975191026926, 0.0004391317197587341, 0.00024318388022948056, 0.0015130586689338088, 0.0005330217536538839, 0.0013652497436851263, 0.001359960762783885, 0.0007585964049212635, 0.0008670499664731324, 0.0004463657096493989, 0.0006018899730406702, 0.0003333000058773905, 0.00033856998197734356, 0.0012988157104700804, 0.000977747025899589, 0.0005695212748833001, 0.0004709392669610679, 0.0004775127745233476, 0.0002459525712765753, 0.00046788775944150984, 0.000320662948070094, 0.0004142576071899384, 0.0004702246515080333, 0.00026968555175699294, 0.00023074944328982383, 0.0003801321145147085, 0.0004273171362001449, 0.0005153526435606182, 0.0004081307561136782, 0.0005083383875899017, 0.00022613311011809856, 0.00037149767740629613, 0.00031806278275325894, 0.001138320891186595, 0.0006125571671873331, 0.00043386893230490386, 0.0004166683938819915, 0.0005832210299558938, 0.0004065230896230787, 0.00021882982400711626, 0.0002509336918592453, 0.00019349157810211182, 0.00033856381196528673, 0.0003338070528116077, 0.000534851336851716, 0.0002460838295519352, 0.00028465321520343423, 0.0002984234597533941, 0.00019456350128166378, 0.0002455596986692399, 0.000248115073191002, 0.00018299090152140707, 0.00040497389272786677, 0.00013429069076664746, 0.0002958141849376261, 0.0002620391023810953, 0.00033352174796164036, 0.00022149147116579115, 0.0006376710371114314, 0.0004656760720536113, 0.00028515688609331846, 0.0001682983129285276, 0.0002705983933992684, 0.0002735672169364989, 0.0004515687469393015, 0.00024702781229279935, 0.0007728508207947016, 0.0004358661826699972, 0.00025724185979925096, 0.00017544841102790087, 0.00025021916371770203, 0.0004022813809569925, 0.000701450277119875, 0.0006020969594828784, 0.0004511562001425773, 0.00019162686658091843]","[0.009533808566629887, 0.008951142430305481, 0.0018136425642296672, 0.0018810901092365384, 0.001446969574317336, 0.0013700281269848347, 0.0016977036138996482, 0.002533575287088752, 0.0012556799920275807, 0.0009423834271728992, 0.0008716531447134912, 0.001797798671759665, 0.0008689791429787874, 0.002150261541828513, 0.0006897035054862499, 0.0008379870560020208, 0.0014031047467142344, 0.0007097629131749272, 0.0006339455721899867, 0.0005093523068353534, 0.00041818636236712337, 0.000372864626115188, 0.0004113985050935298, 0.0004239772097207606, 0.0003059632726944983, 0.000460953131550923, 0.0004938357160426676, 0.0004327905480749905]",bs_4_epoch_140_lr_0.175_model_RSResNet_sf_100_,checkpoints/0416_01:55/RSResNet_01:56.pth,5.123463869094849
